data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
5083122,643,RUS320,320,"26 March 2018",2018,1,Protests,"Protest with intervention","Protesters (Russia)","Progress Party",6,"Police Forces of Russia (2000-)",,1,16,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,1,"Russia Matters",Regional,"On March 26, thousands of people gathered to protest against the corruption news related to the president Vladimir Putin upon the call of Alexey Navalny, the founder of the Progress Party. One of the protests took place in Moscow city in Moscow municipality, Moscow. Police forces intervened and detained some protesters, including Navalny.",0,1553853274,RUS
5088336,804,UKR2749,2749,"26 March 2018",2018,1,Riots,"Violent demonstration","Rioters (Ukraine)",,5,"Civilians (Ukraine)","ICRC: International Committee of the Red Cross; Police Forces of Ukraine (2014-)",7,57,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,1,"Human Rights Information Centre",National,"On March 26, 2018 according to Human Rights Information Centre, an unspecified number of rioters tried to prevent the conduct of the discussion of the delegation of the International Committee of the Red Cross ""Women on the frontline: how they have changed by the new realities"". The rioters raised a buzz and broke the photo exhibition that was posted on the walls. After the police arrived rioters were pushed out of the room.",0,1553853279,UKR
5088337,804,UKR2750,2750,"26 March 2018",2018,1,Riots,"Violent demonstration","Rioters (Ukraine)","Far Right Group (Ukraine)",5,"Civilians (Ukraine)","Police Forces of Ukraine (2014-)",7,57,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,1,"Human Rights Information Centre",National,"On March 26, 2018 according to Human Rights Information Centre, few dozen members of the far right groups tried to prevent the conduct of the discussion about the problem of the spread of ultra-right movements in Ukraine, that was held in Kiev. They tried to prevent people from entering the building where the discussion was held, but shortly were thrown out by the police forces.",0,1553853279,UKR
5079798,112,BLR24,24,"23 March 2018",2018,1,"Violence against civilians",Attack,"Police Forces of Belarus (1994-)",,1,"Civilians (Belarus)","MFF: Movement 'For Freedom'",7,17,Europe,Belarus,Minsk,"City of Minsk",,Minsk,53.9,27.5667,1,HRW,International,"On March 23, police arrested and beat opposition activist Ales Lahvinets of the Movement For Freedom near his home in the city of Minsk, causing him to be hospitalized.",0,1553853269,BLR
5081123,300,GRC75,75,"21 March 2018",2018,1,Protests,"Protest with intervention","Protesters (Greece)",,6,"Police Forces of Greece (2015-)",,1,16,Europe,Greece,Attica,Athens,"Central Athens",Athens,37.9833,23.7333,1,"The National Herald",International,"On Mar. 21, 2018: Anti-auction demonstrators threw eggs at the police outside a notary's office in Athens. Police used shields and tear gas to disperse the demonstration.",0,1553853271,GRC
5088167,804,UKR2580,2580,"21 March 2018",2018,1,"Violence against civilians",Attack,"Unidentified Armed Group (Ukraine)",,3,"Civilians (Azerbaijan)","Journalists (Azerbaijan)",7,37,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,1,Intellinews,International,"On March 21, 2018 Intellinews reported that an Azerbaijani journalist, Fikret Huseynli, was attacked at his residence in Kyiv by unknown persons, which resulted in several injuries.",0,1553853279,UKR
5083084,643,RUS282,282,"15 March 2018",2018,1,"Violence against civilians",Attack,"Police Forces of Russia (2000-) Federal Security Service",,1,"Civilians (Russia)",,7,17,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,1,"OVD Info",National,"On 15 March 2018, the Federal Security Service conducted search at the house of Ruslan Kostylenkov as part of the New greatness case. Kostylenkov reported being beaten up and tortured during the search of his home to obtain confession. In addition, other members of the New Greatness movement were arrested in Moscow on suspicion of extremism.",0,1553853274,RUS
5083079,643,RUS277,277,"14 March 2018",2018,1,"Violence against civilians",Attack,"Police Forces of Russia (2000-)",,1,"Civilians (Russia)","Anarchist Group (Russia)",7,17,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,1,Avtonom.ru,National,"On March 14th 2018, several anarchist activists were detained throughout Moscow. One activist was subjected to torture while in police custody and was forced to deliver a confession.",0,1553853274,RUS
5087982,804,UKR2395,2395,"14 March 2018",2018,1,"Explosions/Remote violence",Grenade,"Unidentified Armed Group (Ukraine)",,3,,,0,30,Europe,Ukraine,Lviv,"Lviv Municipality",,Lviv,49.8407,24.0305,1,"OSCE SMM-Ukraine",National,"On March 14, 2018, an explosive device had been thrown into Lychakiv cemetery in Lviv.",0,1553853279,UKR
5083061,643,RUS259,259,"11 March 2018",2018,1,Protests,"Protest with intervention","Protesters (Russia)","Yabloko: Russian United Democratic Party",6,"Police Forces of Russia (2000-)",,1,16,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,1,"OVD Info",National,"The chairman of the Yabloko party was detained by police following a speech at the Mothers' March in Moscow.",0,1553853273,RUS
5087861,804,UKR2274,2274,"09 March 2018",2018,1,"Violence against civilians",Attack,"Unidentified Armed Group (Ukraine)",,3,"Civilians (Ukraine)","Svoboda; Government of Ukraine (2014-)",7,37,Europe,Ukraine,"Kiev City",Kiev,,Kiev,50.4496,30.5224,2,"Ukrainian News Agency",National,"On March 09, 2018 Ukrainian News Agency reported that unknown persons beat a non-affiliated member of the Ukrainian Parliament Levchenko (Svoboda party) in Kyiv, while he was protesting with activists at what they regard as an illegal construction site. On March 9, police opened a criminal case following the incident.",0,1553853279,UKR
5198553,804,UKR2260,2260,"08 March 2018",2018,1,Riots,"Violent demonstration","Rioters (Ukraine)",,5,"Rioters (Ukraine)","Women (Ukraine)",5,55,Europe,Ukraine,Lviv,"Lviv Municipality",,Lviv,49.8407,24.0305,1,"OSCE SMM-Ukraine",National,"On March 08, 2018 OSCE SMM-Ukraine saw about 200 people in Lviv, 70 per cent of them were women, marching with signs calling for gender equality, an end to domestic and gender-based violence, and an end to 'the patriarchy.' SMM reports that about 20 young women were protesting against the march with signs written in Ukrainian such as 'Feminism is destruction' and 'Gender quotas are discrimination"" and about other forty activists of right-wing groups were walking alongside the march. The Mission saw that at one point scuffles broke out between one of these activists and a participant in the women's march and that the police detain the activist. [size=200]",0,1559160369,UKR
5087805,804,UKR2218,2218,"06 March 2018",2018,1,Riots,"Violent demonstration","Rioters (Ukraine)","Sokil; C14; OUN: Organization of Ukrainian Nationalists",5,"Civilians (Ukraine)",,7,57,Europe,Ukraine,Lviv,"Lviv Municipality",,Lviv,49.8407,24.0305,1,"OSCE SMM-Ukraine",National,"On March 06, 2018, about 50 protestors with the insignia of Sokil, Organisation of Ukrainian Nationalists (OUN) and C14 gathered outside the main entrance of the Lviv National Opera preventing approximately 350 ticketholders from entering. They were demonstrating against the performance because one of its singers had previously performed in the Russian Federation and Crimea. Rioters poured red liquid in front of the main entrance of the opera and shoved a representative of the singer.",0,1553853279,UKR
5535970,498,MDA35,35,"05 March 2018",2018,2,"Violence against civilians",Attack,"Private Security Forces (Moldova)",,8,"Civilians (Moldova)","Journalists (Moldova)",7,78,Europe,Moldova,Chisinau,,,Chisinau,47.0056,28.8575,2,"Jurnal; Newsmaker.md; Moldova.org; Ziarul de Garda",National,"As reported on March 5th, a two-person filming crew of JurnalTV was beaten by the guard of the businessman Iurie Luncasu while conducting an investigation in Chisinau.",0,1561483035,MDA
5198041,804,UKR2000,2000,"27 February 2018",2018,1,Riots,"Violent demonstration","Rioters (Ukraine)","Nationalist Group (Ukraine)",5,,,0,50,Europe,Ukraine,Odessa,"Odessa Municipality",,Odessa,46.4639,30.7386,1,UA:Pershiy,National,"On February 27, 2018, Ukrainian nationalists have attacked a building of the Russian Consulate General in Odessa, throwing flares at the facility and smearing its fence with red paint. About 50 policemen did not intervene in ""the provocation"".",0,1559058128,UKR
5083020,643,RUS218,218,"26 February 2018",2018,1,"Violence against civilians",Attack,"Unidentified Armed Group (Russia)",,3,"Civilians (Russia)","Government of Russia (2000-)",7,37,Europe,Russia,Moscow,"Moscow Municipality",,Moscow,55.7522,37.6156,1,"OVD Info",National,"On February 26th, three unidentified individuals attacked the head of Moscow's district Kurkinno (North-Western administrative okrug) Ilya Svetikov, when he was stepping out of his car in garages. Svetikov was only slightly injured and claims that the assault was supposed to threaten him.",0,1553853273,RUS
